student_id,round_id,arm_id,start_level,delta_level,end_level
303,4,1,4,0,4
304,4,2,2,2,4
305,4,1,1,2,3
306,4,2,2,0,2
307,4,1,4,2,4
308,4,2,1,1,2
309,4,1,0,0,0
310,4,2,3,2,4
311,4,1,3,2,4
312,4,2,2,1,3
313,4,1,4,1,4
314,4,2,0,0,0
315,4,1,3,0,3
316,4,2,1,2,3
317,4,1,1,2,3
318,4,2,4,0,4
319,4,1,0,0,0
320,5,2,4,1,4
321,5,1,4,2,4
322,5,2,1,2,3
323,5,1,2,2,4
324,5,2,1,0,1
325,5,1,1,1,2
326,5,2,3,0,3
327,5,1,0,1,1
328,5,2,4,0,4
329,5,1,2,2,4
330,5,2,3,2,4
331,5,1,2,1,3
332,5,2,3,2,4
333,5,1,4,0,4
334,5,2,3,2,4
335,5,1,2,0,2
336,5,2,1,0,1
337,5,1,4,1,4
338,5,2,0,1,1
339,5,1,2,2,4
340,5,2,3,1,4
341,5,1,1,1,2
342,5,2,4,1,4
343,5,1,0,1,1
344,5,2,1,0,1
345,5,1,2,2,4
346,5,2,2,2,4
347,5,1,0,0,0
348,5,2,2,2,4
349,5,1,4,1,4
350,5,2,2,0,2
351,5,1,1,1,2
352,5,2,2,1,3
353,5,1,4,0,4
354,5,2,0,0,0
355,5,1,3,0,3
356,5,2,1,1,2
357,5,1,2,2,4
358,5,2,2,0,2
359,5,1,1,2,3
360,5,2,4,1,4
361,5,1,4,1,4
362,5,2,3,0,3
363,5,1,3,1,4
364,5,2,3,1,4
365,5,1,1,1,2
366,5,2,4,2,4
367,5,1,1,1,2
368,5,2,2,2,4
369,5,1,4,1,4
370,5,2,0,1,1
371,5,1,4,1,4
372,5,2,3,0,3
373,5,1,0,0,0
374,5,2,4,2,4
375,5,1,4,0,4
376,5,2,1,0,1
377,5,1,4,1,4
378,5,2,4,1,4
379,5,1,4,0,4
380,5,2,4,0,4
381,5,1,2,1,3
382,5,2,0,1,1
383,5,1,4,2,4
384,5,2,0,1,1
385,5,1,0,2,2
386,5,2,1,1,2
387,5,1,2,2,4
388,5,2,3,0,3
389,5,1,4,2,4
390,5,2,3,1,4
391,5,1,4,1,4
392,5,2,1,1,2
393,5,1,0,0,0
394,5,2,3,2,4
395,5,1,4,0,4
396,5,2,2,2,4
397,5,1,2,1,3
398,5,2,3,2,4
399,5,1,4,2,4
400,5,2,0,0,0
401,5,1,1,2,3
402,5,2,4,1,4
403,5,1,4,1,4
404,5,2,1,2,3
405,5,1,1,0,1
406,5,2,3,0,3
407,5,1,2,2,4
408,5,2,0,0,0
409,5,1,1,2,3
410,5,2,1,0,1
411,5,1,0,1,1
412,5,2,0,2,2
